id;name;count
8;instrumental;871
22;medium tempo;600
10;amateur recording;490
5;slow tempo;457
66;emotional;392
225;acoustic drums;388
91;energetic;376
27;fast tempo;374
68;passionate;299
125;electric guitar;291
32;bass guitar;285
20;acoustic guitar;281
38;live performance;271
211;instrumental music;257
39;poor audio quality;235
17;piano;230
18;e-bass;222
229;uptempo;218
111;groovy;207
105;male vocal;200
557;youthful;200
46;male singer;193
350;spirited;192
98;male voice;190
397;romantic;186
101;moderate tempo;185
109;electronic drums;184
77;percussion;178
753;no voices;177
33;keyboard harmony;162
162;upbeat;157
681;cheerful;154
6;bass;152
332;e-guitar;147
349;enthusiastic;142
57;pop;141
180;rock;132
344;keyboard;131
407;electronic music;131
272;medium to uptempo;127
106;melodic singing;126
377;no singer;126
47;groovy bass line;125
25;no other instruments;124
661;vibrant;124
252;lively;123
806;mellow;121
516;loud;120
613;exciting;120
1281;dance music;120
16;digital drums;118
49;keyboard accompaniment;113
76;strings;112
247;happy;110
399;soothing;110
113;male vocalist;109
157;melancholic;106
156;easygoing;105
179;intense;105
388;no percussion;102
221;female vocal;101
305;female singer;101
237;sentimental;100
380;relaxing;100
166;calming;99
946;dj;97
197;male voice singing;96
114;medium fast tempo;95
147;steady drumming rhythm;85
231;female voice;85
443;bad audio quality;85
952;dance;83
469;piano accompaniment;82
571;flute;82
403;drums;81
295;vocal harmony;80
553;steady drumming;77
844;club music;76
396;love song;75
578;playful;75
677;buoyant;75
9;no voice;74
1487;tambourine;73
205;aggressive;72
502;sound effects;72
286;live recording;70
346;psychedelic;70
239;classical;69
410;engaging;69
756;soft;69
314;melodic;68
474;groovy rhythm;67
536;classical music;67
525;violin;66
227;female voice singing;65
267;cello;65
421;ambient;65
543;orchestra;65
194;eerie;63
343;guitar solo;62
717;groovy bass;62
249;punchy;60
294;trumpets;60
412;dance groove;59
420;pleasant;59
467;live audience;59
520;upright bass;59
804;dance rhythm;59
254;synthesiser arrangements;58
419;edm;58
1348;animated;58
181;hard rock;57
361;movie soundtrack;57
910;folk music;57
529;punchy snare;56
683;foreign language;56
103;r&b;55
223;positive;55
298;hip-hop;55
496;string section;55
586;jazz;55
766;fun;55
547;jam;54
551;trippy;54
13;reverb;53
142;meditative;53
193;synth;53
523;banjo;53
63;punchy kick;52
165;cinematic;52
242;single instrument;52
243;catchy;52
387;synth sounds;52
524;acoustic piano;52
615;guitar accompaniment;52
132;vocalisation;51
144;inspiring;50
398;groovy music;50
629;repeated theme;50
727;vocal backup;50
163;joyful;49
441;saxophone;49
922;people talking;49
202;male vocals;48
326;accordion;48
404;synth bass;48
112;urban;47
143;devotional;47
453;programmed percussion;47
606;percussive bass line;47
673;pop song;47
264;dreamy;46
52;home video;45
175;vigorous;45
234;country music;45
936;heavy metal;45
981;danceable;45
130;blues;44
208;story telling;44
1485;reggae;44
3;simple percussion;43
67;sad;43
161;tabla;43
190;electronic dance music;43
199;harp;43
539;violins;43
540;brass band;43
705;poignant;43
754;happy mood;43
850;hypnotic;43
926;vivacious;43
371;mysterious;42
429;rap;42
532;female vocalist;42
847;synthesiser arrangement;42
865;sinister;42
1734;powerful;42
2062;brass section;42
348;trance;41
669;techno;41
920;clapping;41
1346;wind instrument;41
1694;drum machine;41
463;dramatic;40
564;strong bass line;40
577;mandolin;40
582;guitar;40
674;shaker;40
1242;pop music;40
1351;calm;40
323;inferior audio quality;39
466;backup singers;39
482;organ;39
762;minimalist;39
960;simple tune;39
19;trumpet;38
224;e-guitars;38
530;shimmering hi hats;38
95;folk song;37
415;synthesiser articulation;37
1388;didgeridoo;37
308;ethereal;36
445;soloist;36
513;rock music;36
851;simple;36
1191;tambourine beats;36
1340;synth pop;36
1593;people dancing;36
172;sonic power;35
299;electronic;35
579;uplifting;35
854;scary;35
907;guitar rhythm;35
170;stringed instrument;34
212;suspense;34
266;nostalgic;34
501;clarinet;34
984;religious;34
2483;chill;34
182;home recording;33
413;electro pop;33
462;epic;33
499;movie music;33
825;metal;33
924;concert;33
935;male voices singing;33
1043;western classical music;33
1044;static;33
74;brass;32
636;congas;32
637;bongos;32
680;simple melody;32
721;world music;32
1105;melodious;32
1598;string instrument;32
2395;trombone;32
72;ambient sounds;31
104;soul;31
108;strong bass;31
192;scratching;31
411;captivating;31
792;addictive;31
838;ballad;31
842;bells;31
933;chaotic;31
1240;harmonica;31
1249;xylophone;31
1980;dj mixer;31
168;cymbals;30
365;average audio quality;30
381;meditation;30
439;hip;30
559;rhythmic acoustic guitar;30
591;soulful;30
593;gospel;30
1009;pensive;30
1352;gentle;30
554;funky;29
560;guitar lead;29
931;distorted electric guitar;29
1007;meditation music;29
1095;harpsichord;29
1303;minimal instruments;29
1867;crowd cheering;29
2249;male voice speaking;29
35;slick drumming;28
110;sensual;28
164;atmospheric;28
261;lullaby;28
362;philharmonic orchestra;28
555;pop rock;28
855;dark;28
296;male voices;27
374;tuba;27
475;dance song;27
599;spiritual;27
614;theremin;27
686;regional music;27
866;spooky;27
872;experimental;27
1127;haunting;27
1157;alternative rock;27
1309;peppy;27
1692;pulsating;27
28;white noise;26
173;amplified guitar;26
409;futuristic;26
526;soft rock;26
643;latin dance music;26
699;synth pad;26
1124;muffled audio;26
1170;violin harmony;26
1173;mellifluous;26
1801;peaceful;26
2234;vibrations;26
2448;bass drum;26
126;groovy bass lines;25
235;fiddle;25
289;duet;25
493;heartfelt;25
506;ominous;25
517;generic;25
552;electric guitar lead;25
635;shakers;25
942;rhythmic;25
1185;slower tempo;25
1431;adrenaline rush;25
1446;funk;25
2222;grim;25
145;motivational;24
219;festive;24
376;sitar;24
418;dance pop;24
